,dia_no,new_dia_no,old_goal,new_goal,dia
350,355,350,You are looking for a hotel. The hotel should be in the west and should be in the expensive price range. The hotel should have a star of 4 and should include free parking. Make sure you get postcode,You are looking for a hotel. The hotel should be in the west and should be in the expensive price range. The hotel should have a star of 4 and should include free parking. Make sure you get postcode,"user: Hi, I'm looking for an upscale hotel. Could you recommend me anywhere in the west part of the area?
system: Huntingdon Marriott Hotel is available in the west part of town and looks upscale.
user: Does it have a star of 4 and free parking?
system: Yes. Would you like to book a room?
user: Yes, most likely. Can you provide me with the postcode of the hotel please?
system: Yes, the postcode is pe296fl. Is there anything else I can do for you today?
user: Thanks, that will be all.
system: Thanks!"
351,356,351,You are looking for a place to stay. The hotel should include free parking and should be in the east. The hotel should include free wifi and should have a star of 4. Once you find the hotel you want to book it for 1 people and 5 nights starting from wednesday. Make sure you get the reference number,You are looking for a place to stay. The hotel should include free parking and should be in the east. The hotel should include free wifi and should have a star of 4. Once you find the hotel you want to book it for 1 people and 5 nights starting from wednesday. Make sure you get the reference number,"user: Can you locate me a hotel on the east side with free parking. Please provide me with the reference number.
system: We have listings for 5 hotels and 1 guesthouse on the east side with free parking. Do you have a price range in mind so we can narrow it down?
user: I would like one with four star. I don't care about the price.
system: I have 5 guesthouses that meet that star requirement. The Allenbell, Autumn House, and Leverton House are all cheap. Carolina B&B and Warkworth House are moderate. Do you have a preference?
user: Let's try the Allenbell. Could you make a reservation for 1 person, for 5 nights starting Wednesday?
system: No problem.  Your reference number is GWQNWQXD.  Anything else?
user: No, that's all I needed today. Thank you for your assistance!
system: Enjoy your stay! Goodbye!"
352,357,352,You are looking for a particular hotel. Its name is called kirkwood house. Once you find the hotel you want to book it for 3 people and 3 nights starting from wednesday. Make sure you get the reference number,You are looking for a particular hotel. Its name is called kirkwood house. Once you find the hotel you want to book it for 3 people and 3 nights starting from wednesday. Make sure you get the reference number,"user: I am looking for a particular hotel. Its name is called kirkwood house
system: Kirkwood house is located in the north and is moderately priced. Want me to book you a room?
user: Please book a room for 3 people for 3 nights starting on Wednesday. Can I have a reference number?
system: Your booking was successful. Reference number is : VHYO8IC0.
user: Wonderful. Thank you. 
system: welcome next time
user: Thanks, that's all. Good bye.
system: You are more than welcome!"
353,358,353,You are looking for a place to stay. The hotel should be in the moderate price range and should have a star of 4. The hotel should include free wifi. Once you find the hotel you want to book it for 8 people and 3 nights starting from thursday. Make sure you get the reference number,You are looking for a place to stay. The hotel should be in the moderate price range and should have a star of 4. The hotel should include free wifi. Once you find the hotel you want to book it for 8 people and 3 nights starting from thursday. Make sure you get the reference number,"user: I am looking for a moderately priced 4 star hotel.
system: Okay I can help you with that. What area would you like to stay in?
user: I don't have a preference for location, but it should be in the moderate price range and should have a star rating of 4.
system: There are 33 hotels with a 4 start rating and in the moderate price range. What area did you have in mind? 
user: It should also include free wifi.
system: There are no hotels that match your criteria. Would you be ok with a guesthouse?
user: Yes. I'll need accomodations for 8 people and 3 nights starting from thursday.
system: I would recommend acorn guest house in the north area or a and b guest house in the east area. Which would you prefer?
user: Acorn, please. Could you book that?
system: The reservation was successful, your reference number is K6CPBLHM
user: Thank you. That should be it, thank you for your time.
system: You're welcome, glad I could help."
354,359,354,"You are looking for a place to stay. The hotel should be in the centre and should have a star of 3. The hotel doesn't need to have free parking. If there is no such hotel, how about one that is in the north. Make sure you get address","You are looking for a place to stay. The hotel should be in the centre and should have a star of 3. The hotel doesn't need to have free parking. If there is no such hotel, how about one that is in the north.","user: I am looking for a 3 star hotel in the centre of town
system: The gonville hotel is in the centre of town and has a 3 star rating.
user: It doesn't need to have free parking, but just by chance do they offer that? 
system: The Gonville Hotel actually offers both free wifi and free parking. Can I help you with booking a room there? 
user: No, that's all the information I need. Thank you!
system: You're welcome. Have a nice day."
355,360,355,You are looking for a place to stay. The hotel should be in the east and should include free wifi. The hotel should have a star of 4 and should be in the type of guesthouse. Once you find the hotel you want to book it for 3 people and 5 nights starting from tuesday. If the booking fails how about different hotel in the same  pricerange. Make sure you get the reference number,You are looking for a place to stay. The hotel should be in the east and should include free wifi. The hotel should have a star of 4 and should be in the type of guesthouse. Once you find the hotel you want to book it for 3 people and 5 nights starting from tuesday. If the booking fails how about different hotel in the same  pricerange. Make sure you get the reference number,"user: Hi, I'm looking for a place to stay in the east with free wifi.
system: Are you looking for a hotel or a guesthouse?
user: I am looking for a 4 star guesthouse?  Do you have any on the east side with free wifi?
system: I found 7 hotels that are in the cheap, moderate, and expensive range. What would you prefer?
user: It doesn't matter. Let's go with moderate.
system: There are 3 entries that meet your requirements. 
user: Perfect! Can you make a reservation for me for 3 people, 5 nights starting Tuesday?
system: You are booked into the carolina bed and breakfast. Your reference number is WXN8W3MZ. May I help you with anything else?
user: Address please and that's all.
system: They are located at 138 perne road.
user: Thank you.  That's all I need. 
system: Okay great. Enjoy your stay in Cambridge."
356,361,356,"You are looking for a place to stay. The hotel should include free wifi and should be in the west. The hotel doesn't need to have free parking. If there is no such hotel, how about one that is in the east. Once you find the hotel you want to book it for 3 people and 3 nights starting from sunday. If the booking fails how about different hotel in the same  pricerange. Make sure you get the reference number","You are looking for a place to stay. The hotel should include free wifi and should be in the west. The hotel doesn't need to have free parking. If there is no such hotel, how about one that is in the east. Once you find the hotel you want to book it for 3 people and 3 nights starting from sunday. If the booking fails how about different hotel in the same  pricerange. Make sure you get the reference number","user: I'm looking for a place to stay on the westside that offers free wifi.
system: What price range would you prefer, moderate, cheap, or expensive?
user: I don't care about the price, and the hotel doesn't need to have free parking.
system: Would you prefer one with internet?
user: Yes WiFi internet please.
system: How about Finches bed and breakfast?
user: That is fine, is it in the East?
system: No, Finches is in the West. Are you looking for a place in the East?
user: No I am looking for a place in the West.
system: When will you be staying and for how long and how many people will be in your party.
user: I need to stay 3 nights staring from Sunday and 3 people will be in my party.
system: I'm sorry, I was unable to book the finches for you. I can check in the different area or price range, if you like.
user: Can you find another hotel in the same pricerange?
system: The the cambridge belfry is also in the same pricerange would you like me to check booking there?
user: Yes, please. Make sure it's for 3 people and 3 nights starting on Sunday and I need the reference number.
system: I have made successful booking there. Your Reference number is : 1PLDTXKH.
user: Thank you for all your help today. 
system: Thank you."
357,362,357,You are looking for a place to stay. The hotel should be in the type of guesthouse and should have a star of 4. The hotel should be in the north. Once you find the hotel you want to book it for 6 people and 5 nights starting from thursday. Make sure you get the reference number,You are looking for a place to stay. The hotel should be in the type of guesthouse and should have a star of 4. The hotel should be in the north. Once you find the hotel you want to book it for 6 people and 5 nights starting from thursday. Make sure you get the reference number,"user: Hi, I need a 4 star guesthouse hotel please.
system: I have 21 4 star places, can you tell me what area you would like to be in?
user: The North part of town, please.
system: There are quite a few.  If you'd like a cheap alternative, I can recommend Worth House, on Chesterton Road. Or for a moderate rate, Kirkwood House is next door.
user: Could you book the Kirkwood House for me for thursday, 6 people and 5 nights?
system: Your booking was successful. The reference number is 6G15LHZM. Is there anything else?
user: That is all I needed. Thanks.
system: Thank you, goodbye."
358,363,358,"You are looking for a place to stay. The hotel should have a star of 4 and doesn't need to have free parking. The hotel should be in the moderate price range and should be in the type of hotel. If there is no such hotel, how about one that is in the type of guesthouse. Make sure you get postcode","You are looking for a place to stay. The hotel should have a star of 4 and doesn't need to have free parking. The hotel should be in the moderate price range and should be in the type of hotel. If there is no such hotel, how about one that is in the type of guesthouse. Make sure you get postcode","user: I'm looking for some 4-star accommodations.
system: There are over twenty four-star hotels or guesthouses. What area do you prefer?
user: An area that's close to public transportation 
system: How about a and b guest house? 
user: Sure, as long as it is moderately priced.
system:  of course. ive got some options. you can check the out
user: I will be happy too. I will also need a postcode.
system: The postcode is cb12dp and the address is 124 tenison road. Do you want me to book it for you?
user: No that won't be necessary. I am just gathering information for now. Thanks
system: Sure thing. Have a nice day!"
359,364,359,"You are looking for a place to stay. The hotel should be in the type of hotel and should be in the north. The hotel should have a star of 4. If there is no such hotel, how about one that is in the type of guesthouse. Once you find the hotel you want to book it for 6 people and 3 nights starting from thursday. If the booking fails how about different hotel in the same  pricerange. Make sure you get the reference number",You are looking for a place to stay. The hotel should be in the type of hotel and should be in the north. The hotel should have a star of 4.,"user: I need to find a hotel in the north part of town. 
system: We have quite a selection of lodgings in the north. Do you have a price range preference, or additional needs, to narrow down our search?
user: Yes, I am looking for a 4 star hotel.
system: We have 8 guesthouses with a 4 star rating. 7 of the them are moderately priced and one is in the cheap range. Do you have a preference?
user: No.  Pick whatever is available. 
system: acorn guest house is a nice place.Would you like the address ?"
360,365,360,You are looking for a place to stay. The hotel should include free wifi and should be in the type of guesthouse. The hotel should have a star of 4 and should include free parking. Make sure you get postcode,You are looking for a place to stay. The hotel should include free wifi and should be in the type of guesthouse. The hotel should have a star of 4 and should include free parking. Make sure you get postcode,"user: I am looking for a place to stay. The hotel should include free wifi,
system: There are many hotels that match your criteria. Which area of town would you like to stay in?
user: area of town close to public transportation
system: Then, that narrows down to 3 hotels in the centre of town. Do you prefer expensive or moderate price range?
user: I'm not picky. It needs to have free parking, though.
system: Ashley hotel has free parking, would you like a reservation?
user: Oh, I'm sorry, I also want to make sure it's got a 4 star rating, at least. Could you confirm that for me please?
system: Unfortunately Ashley hotel is only 2 stars. There are no 4 star hotels from what I can see. Would you like me to search for 3 star hotels or 5 star?
user: Yes, can you search for a 5 star please?
system: I am sorry, there are not 5 stars available. 
user: Well, I'm not sure what I should so. I guess I should go with the two star place.
system: How about a three star hotel? I have two that would match your description.
user: Do you have any 4 star guesthouses available instead? 
system: Yes, the alexander bread and breakfast is a 4 star guesthouse in the centre. Would you like me to book you a room?
user: Yes, but only if they offer free parking. And free wifi. Do they?
system: Yes, both free wifi and parking is available at this location.
user: Thank you, could I get the postal code to this hotel, please?
system: The postcode is cb12de. Shall I book a room for you?
user: That is all I need for the time being. Thank you so much for the help.
system: Okay have a great day!"
361,366,361,"You are looking for a place to stay. The hotel should include free parking and should be in the moderate price range. The hotel should have a star of 3 and should be in the type of hotel. If there is no such hotel, how about one that is in the expensive price range. Once you find the hotel you want to book it for 4 people and 5 nights starting from saturday. If the booking fails how about different hotel in the same  pricerange. Make sure you get the reference number","You are looking for a place to stay. The hotel should include free parking and should be in the moderate price range. The hotel should have a star of 3 and should be in the type of hotel. If there is no such hotel, how about one that is in the expensive price range. Once you find the hotel you want to book it for 4 people and 5 nights starting from saturday. If the booking fails how about different hotel in the same  pricerange. Make sure you get the reference number","user: Howdy, I'm looking for a moderately priced place to stay. I'd like a place with free parking.
system: There are many places that meet that criteria. Do you have any other preferences?
user: I prefer a hotel rather than a guesthouse with a rating of at least 3 stars.
system: I have nothing with that exact criteria, perhaps something with a bit of a change in criteria?
user: How about an expensive one?
system: I have Gonville Hotel in the centre and The Lensfield Hotel in the south that both meet your needs. Would you like to book one of these two?
user: Yes. Either of those should work although I would prefer The Lensfield Hotel since its in the south.
system: OK! I can book a room for you if you can tell me the day you're arriving, how many nights you need, and the number of people in your party.
user: Please book for 4 people and 5 nights starting from saturday.
system: I'm sorry, the Lensfield Hotel does not have anything available then. Would you like me to try the Gonville Hotel for you?
user: Yes, anything in the same price range will work.
system: I was able to book a room at the Gonville for you, ref#AE00VOHE. Can I help you with anything else today?
user: No thank you that is all I need today.
system: Thank you for using this service. Enjoy your stay. Good bye."
362,367,362,"You are looking for a place to stay. The hotel should include free parking and should be in the east. The hotel should have a star of 5. If there is no such hotel, how about one that has a star of 4. Once you find the hotel you want to book it for 7 people and 4 nights starting from friday. Make sure you get the reference number","You are looking for a place to stay. The hotel should include free parking and should be in the east. The hotel should have a star of 5. If there is no such hotel, how about one that has a star of 4. Once you find the hotel you want to book it for 7 people and 4 nights starting from friday. Make sure you get the reference number","user: I am looking for a place to stay in the east.
system: What price range are you looking for?
user: It doesn't matter as long as it has free parking.  Are there any with 5 stars?
system: There are several places available, however, I do not know if they have free parking, but they do have parking. Are you looking for a hotel or a guesthouse type place to stay. 
user: It doesn't matter to me whether it's a guesthouse or hotel, but I really want it to have free parking. Can you check on that again, please?
system: I'm sorry there are no hotels that  match that criteria. Would you like to try something with a different number of stars?
user: Can you try a 4 star hotel instead, please?
system: There are 5 guesthouse's that meet that criteria. Do you have a preference on the price range?
user: I don't care about the price range. Can you book it for 4 nights? There will be 7 of us and we will be arriving on Friday.
system: I was able to book a room at Carolina bed and breakfast, the reference number is 168T25C6. Is there anything else you need help with?
user: That is all I needed, thanks for all your help.
system: You are welcome! Have a nice day!"
363,368,363,You are looking for a place to stay. The hotel should be in the north and should include free parking. The hotel should be in the cheap price range and should have a star of 0. Once you find the hotel you want to book it for 8 people and 4 nights starting from sunday. If the booking fails how about different hotel in the same  pricerange. Make sure you get the reference number,You are looking for a place to stay. The hotel should be in the north and should include free parking. The hotel should be in the cheap price range and should have a star of 0. Once you find the hotel you want to book it for 8 people and 4 nights starting from sunday. If the booking fails how about different hotel in the same  pricerange. Make sure you get the reference number,"user: I'm looking for a place to stay in the north part of town.
system: I have 13 hotels in the north ranging from cheap to moderately priced. Would you like to narrow it down by choosing a star rating?
user: Yes thank you, I would like a star rating of 0 please.
system: The City Centre North B and B has internet and parking.  Can I book a room for you?
user: Yes can you please look to see if booking is available for 8 people and 4 nights starting from sunday?
system: Booking was unsuccessful. Would you like to find another hotel?
user: Oh, bummer. How about a different hotel in the same price range?
system: I can check. Would you like everything else to be the same?
user: Yes, everything else is the same.
system: I'm sorry but no other hotels have these exact criteria. Could we vary the price or star rating?
user: Yes, keep the same price range, but you can vary the star rating.
system: There is the worth house it is cheap and has a 4 star rating.  May I book that for you?
user: Yes, for 8 people and 4 nights starting from sunday.
system: Booking was successful. Reference number is : RSNEQ2JV.
user: Thanks, that's all I need. Have a nice day.
system: Thank you for contacting us and enjoy your stay."
364,369,364,"You are looking for a place to stay. The hotel should have a star of 4 and should be in the expensive price range. The hotel should be in the type of guesthouse. If there is no such hotel, how about one that is in the cheap price range. Once you find the hotel you want to book it for 5 people and 3 nights starting from monday. If the booking fails how about different hotel in the same  pricerange. Make sure you get the reference number","You are looking for a place to stay. The hotel should have a star of 4 and should be in the expensive price range. The hotel should be in the type of guesthouse. If there is no such hotel, how about one that is in the cheap price range. Once you find the hotel you want to book it for 5 people and 3 nights starting from monday. If the booking fails how about different hotel in the same  pricerange. Make sure you get the reference number","user: I am looking for an expensive 4 star hotel.
system: I am showing five hotels that fit your criteria. They all offer internet and parking. Is there a specific area you want to be in?
user: No, but the hotel should be in the type of guesthouse.
system: I'm sorry, there aren't any expensive guesthouses with 4 stars, but there are 18 moderately priced 4-star guesthouses. Would that be okay?
user: Is there one available in the cheap price range?
system: I have 7 cheap 4 star guesthouses,can I recommend autumn house?
user: yes that sounds nice, can you check for booking for 5 people and 3 nights starting from monday?
system: Yes, I will book at autumn house for 3 night for 5 people starting Monday.
user: Can I get that reference number please?
system: Unfortunately the booking was unsuccessful.  Would you like me to look at another hotel?
user: please recommend another hotel in that same price range.  
system: Alexander bed and breakfast is is the centre location. Also a 4 star cheap guest house. How does that sound to you?
user: Book it please. 
system: I have made reservations starting monday for 3 nights and 5 people the reference number is JCCYU8ZS. Is there anything else I can help you with?
user: No thank you. Good bye.
system: Goodbye. Have a great day!"
365,370,365,You are looking for a hotel. The hotel should include free parking and should be in the north. The hotel should be in the type of guesthouse. Make sure you get whether they have internet,You are looking for a hotel. The hotel should include free parking and should be in the north. The hotel should be in the type of guesthouse. Make sure you get whether they have internet,"user: I am looking for a hotel with free parking in the North.
system: There are 11 hotels that meet your needs. Would you like to narrow them down by price range?
user: Are any of those 11 guesthouses?
system: Yep there are 5 guesthouses. Do you wanna just try acorn guest house?
user: Does it offer free wifi?
system: Yes, it does have internet.
user: Okay. Please help me book this guesthouse.
system: What day, number of nights, and number of people would you like to book for?
user: I do not have all of that information at this time. Can I talk to you again when I know more?
system: Yes that is all right.
user: Thank you for your help!
system: It's my pleasure. Have a nice trip!"
366,371,366,"You are looking for a place to stay. The hotel should have a star of 3 and should be in the cheap price range. The hotel should include free wifi. If there is no such hotel, how about one that is in the expensive price range. Once you find the hotel you want to book it for 2 people and 2 nights starting from tuesday. If the booking fails how about 1 nights. Make sure you get the reference number","You are looking for a place to stay. The hotel should have a star of 3 and should be in the cheap price range. The hotel should include free wifi. If there is no such hotel, how about one that is in the expensive price range. Once you find the hotel you want to book it for 2 people and 2 nights starting from tuesday. If the booking fails how about 1 nights. Make sure you get the reference number","user: I'm curious about places to get a room for the night that are on the cheap end of the spectrum.
system: You might want to try alexander bed and breakfast.
user: I would like free wifi and it needs to have at least 3 stars.
system: I can't find anything that fits my criteria
user: Is there ones that are on the more expensive price range?
system: At the moderate price range, how about the Bridge Guest House?
user: That'll be fine. I would like to book 2 people for 2 nights starting on tuesday. 
system: I'm sorry booking was unsuccessful. Would you like to try for a shorter stay?
user: Sure, can you book it for 1 night?
system: I was able to get the Bridge Guest House for 2 people for Tuesday night.  Can I help you with anything else?
user: Yes, I'll need the reference number for that booking. 
system: The Reference number is : 3YXIHQLI.  Can I assist you any further?
user: No that's all, thank you very much!
system: Thanks for using our services."
367,372,367,You are looking for a place to stay. The hotel should have a star of 4 and should include free wifi. The hotel should be in the cheap price range. Once you find the hotel you want to book it for 5 people and 3 nights starting from wednesday. Make sure you get the reference number,You are looking for a place to stay. The hotel should have a star of 4 and should include free wifi. The hotel should be in the cheap price range. Once you find the hotel you want to book it for 5 people and 3 nights starting from wednesday. Make sure you get the reference number,"user: Hi, I'm looking for a 4-star hotel with free wifi.
system: Sure thing. I have two options for you, and they are both guesthouses. One in the east, and one in the north. Do you have a preference? 
user: Are either of those two cheap? 
system: No I am sorry, they are both in the moderate price range.  Would you like to book one of them?
user: Any one will do as long as it has a 4-star rating with free wifi and is cheap. 
system: There are no 4-star places that are cheap and have free wifi. Perhaps something not as fancy, or in a higher price range? 
user: I'm not sure.  I really needed those specifications.
system: I apologize, we have several options. The alexander bed and breakfast is a cheap four star guesthouse, in the north area, with wifi. Would you care to reserve a room?
user: Yes, let's book it for 3 nights from Wednesday. There will be 5 of us.
system: Okay, I've made your reservation. The reference number is 525A3U0N. What else can I help you with today?
user: You've taken care of everything. Thank you.
system: Thank you have a good day."
368,373,368,You are looking for a particular hotel. Its name is called huntingdon marriott hotel. Once you find the hotel you want to book it for 7 people and 4 nights starting from monday. If the booking fails how about different hotel in the same  pricerange. Make sure you get the reference number,You are looking for a particular hotel. Its name is called huntingdon marriott hotel. Once you find the hotel you want to book it for 7 people and 4 nights starting from monday. If the booking fails how about a hotel of 3 star rating. Make sure you get the reference number,"user: Could you provide me with information about the Huntingdon Marriott hotel?
system: The huntingdon marriott hotel is an expensive hotel in the west with a 4 star rating. Would you like to make a booking?
user: Yes. I want to book it for 7 people. We will be staying for 4 nights starting from Monday.
system: I'm sorry, that isn't available.  Can I find a different hotel for you today?
user: Yes lets look  for a 3 star rating hotel,please.
system: I was able to get a room for you at gonville hotel for monday. Your reference number is 96GT1K88. Is there anything else?
user: Great that was all I needed today thank you!
system: Great. You're welcome! Have a great day!"
369,374,369,You are looking for a particular hotel. Its name is called rosa's bed and breakfast. Once you find the hotel you want to book it for 3 people and 2 nights starting from saturday. If the booking fails how about different hotel in the same  pricerange. Make sure you get the reference number,You are looking for a particular hotel. Its name is called rosa's bed and breakfast. Once you find the hotel you want to book it for 3 people and 2 nights starting from saturday. If the booking fails how about different hotel in the same  pricerange. Make sure you get the reference number,"user: I'm hoping to find Rosa's Bed and Breakfast.
system: Rosa's Bed and Breakfast is located at 53 Roseford Road. Would you like me to make a reservation for you?
user: Yes. I need a reservation for 3 people for 2 nights starting from Saturday.
system: The booking was unsuccessful.  Is there another hotel you would like me to look into?
user: Yes can you find a different hotel in the same price range?
system: I am sorry there are no others in that price range in that area. Would another area be okay?
user: Yes, try another area, please.
system: Alexander bed and breakfast was able to be booked reference number is YUX0ZQKU.
user: Thanks, that's all I need. Have a nice day.
system: Thank you for using our system today!"
370,375,370,"You are looking for a particular hotel. Its name is called leverton house. Make sure you get whether they have internet, phone number, and whether they have free parking","You are looking for a particular hotel. Its name is called leverton house. Make sure you get whether they have internet, phone number, and whether they have free parking","user: I am looking for information on the leverton house hotel
system: Leverton house is a guesthouse located in the east area. It's a 4 star hotel in the cheap price range. They offer internet and parking. Their phone number is 01223292094	
user: Thank you for your help. That's all I need. 
system: So glad I could help. Have a lovely day!"
371,376,371,"You are looking for a particular hotel. Its name is called alpha-milton guest house. Make sure you get postcode, hotel type, and area","You are looking for a particular hotel. Its name is called alpha-milton guest house. Make sure you get postcode, hotel type, and area","user: I'm looking to get some information on the alpha-milton guest house
system: The Alpha-Milton guesthouse in the north and moderately priced.  Would you like to book a room?
user: Not yet, but can you tell me the postcode for this guesthouse?
system: The postcode is cb41xa. Can I help with anything else?
user: No, thanks. That's all I needed. Have a great day. Bye!
system: You're welcome.  Thank you for calling.  Have a nice day."
372,377,372,"You are looking for a place to stay. The hotel should have a star of 3 and should be in the type of guesthouse. The hotel should include free wifi and should be in the centre. If there is no such hotel, how about one that is in the west. Once you find the hotel you want to book it for 6 people and 5 nights starting from tuesday. If the booking fails how about different hotel in the same  pricerange. Make sure you get the reference number","You are looking for a place to stay. The hotel should have a star of 3 and should be in the type of guesthouse. The hotel should include free wifi and should be in the centre. If there is no such hotel, how about one that is in the west. Once you find the hotel you want to book it for 6 people and 5 nights starting from tuesday. If the booking fails how about different hotel in the same  pricerange. Make sure you get the reference number","user: Hi, I need a guest house to stay in, please. 
system: I've found 24 different guesthouses for you. Would you like some recommendations based on more preferences?
user: I need free wifi and it should have a star rating of 3 please.
system: I found 3 guesthouses matching your criteria in the north, south, and west . What part of town would you prefer?
user: I'd like something on the north side of town.
system: I have the Hamilton Lodge on chesterton road, would that be ok?
user: Yes please book it for 6 on tuesday and I will be staying 5 nights if that's available.
system: There are no guest house's available in the north. How about a hotel instead?
user: That would be fine as long as it is in the same price range
system: I am sorry there are no hotels that match either.  Would you like to try a different part of town or star rating?
user: Yes. Would you check the west part of town please?
system: I'm sorry, there is none that match your request in the west. Should I try different star rating or another part of town?
user: Could you try a hotel in the west in the same price range. The star does not matter.
system: Hobsons House is a moderately-priced, 3-star guesthouse in the west. I was able to book that for you, ref#LQIVXPCX. Can I help with anything else today?
user: Thank you, that's all I need today. Goodbye!
system: You're welcome. Enjoy your stay."
373,378,373,You are looking for a place to stay. The hotel should have a star of 4 and should be in the type of guesthouse. The hotel should include free wifi. Once you find the hotel you want to book it for 5 people and 5 nights starting from thursday. If the booking fails how about different hotel in the same  pricerange. Make sure you get the reference number,You are looking for a place to stay. The hotel should have a star of 4 and should be in the type of guesthouse. The hotel should include free wifi. Once you find the hotel you want to book it for 5 people and 5 nights starting from thursday. If the booking fails how about different hotel in the same  pricerange. Make sure you get the reference number,"user: I Am looking for a four star guest house.. 
system: Yes I have several listings in different parts of the city. Do you have a price range or location preference?
user: I'll need free wifi.
system: That's no problem. 18 of our lodging establishments offer free wifi. Is there a price range or location you'd prefer?
user: Not really, but I will need a room for 5 starting on Thursday. Are there any with that availability?
system: How many nights would you like to stay?
user: We'll be staying for five nights.
system: I have made a booking at the acorn guest house for you. The reservation number is 0LV52R28.
user: Thank you.  Could I please get the address and phone number?
system: Yes, address is 154 chesterton road. Their phone number is 01223353888. Is there anything else I can do for you?
user: No, that will do. Thanks!
system: Have a good trip. Thank you for calling the Cambridge TownInfo Centre. Good bye."
374,379,374,You are looking for a place to stay. The hotel should be in the type of guesthouse and should be in the cheap price range. The hotel should have a star of 4. Once you find the hotel you want to book it for 7 people and 4 nights starting from sunday. If the booking fails how about 3 nights. Make sure you get the reference number,You are looking for a place to stay. The hotel should be in the type of guesthouse and should be in the cheap price range. The hotel should have a star of 4. Once you find the hotel you want to book it for 7 people and 4 nights starting from sunday. If the booking fails how about 3 nights. Make sure you get the reference number,"user: Hello, can you help me find a cheap guesthouse?
system: There are 9 to choose from. What area would you like?
user: I don't care.  I'd like a hotel though, with 4 stars.
system: Okay, the cambridge belfry fits all of your needs. 
user: That sounds wonderful. Can you please book a reservation for 7 people?
system: On which day would you like to start this reservation?
user: Sunday, for 4 nights please.
system: I was able to book the room the reference number is YS8H6AOE. Is there anything else I can help with today?
user: Thank you so much. That is all for today.
system: You're welcome. have a great trip!"
375,380,375,You are looking for a place to stay. The hotel should be in the north and should be in the moderate price range. The hotel should be in the type of guesthouse. Once you find the hotel you want to book it for 5 people and 2 nights starting from friday. If the booking fails how about different hotel in the same  pricerange. Make sure you get the reference number,You are looking for a place to stay. The hotel should be in the north and should be in the moderate price range. The hotel should be in the type of guesthouse. Once you find the hotel you want to book it for 5 people and 2 nights starting from friday. If the booking fails how about different hotel in the same  pricerange. Make sure you get the reference number,"user: I'm looking for a moderately priced hotel in the north.
system: Yes, there are 33 hotels that meet your requests. Some of them offer parking or free internet as well. 
user: Any listings for a guesthouse?
system: I have 5, all located in the north and all are gueshouses. How many will I booking for and when?
user: I would like it for 5 people and 2 nights starting from Friday.
system: I was able to get a guesthouse for you at arbury lodge for friday. Your reference number is HV8FJQJU.
user: Thank you for booking it,that is all I need.
system: Have a good stay. Thank you for calling the Cambridge TownInfo Centre.  Good bye."
376,381,376,You are looking for a place to stay. The hotel should have a star of 3 and should be in the south. The hotel should be in the type of hotel and should include free parking. Once you find the hotel you want to book it for 6 people and 5 nights starting from thursday. If the booking fails how about different hotel in the same  pricerange. Make sure you get the reference number,You are looking for a place to stay. The hotel should have a star of 3 and should be in the south. The hotel should be in the type of hotel and should include free parking. Once you find the hotel you want to book it for 6 people and 5 nights starting from thursday. If the booking fails how about different hotel in the same  pricerange. Make sure you get the reference number,"user: I am looking for a place to stay with a 3 star rating.
system: I've found 6 choices that match your inquiry. Are you looking for a specific price range?
user: I would like a lower price range with free parking.
system: We have 3 guesthouses with free parking in moderate price range.
user: I want to be in a hotel, not a guesthouse.
system: There are no hotels matching your requirements, would you like to try something different?
user: Can you find me a hotel in the south with a 3 star rating free parking? 
system: The lensfield hotel matches that all your requirements, would you like to book there?
user: Yes please let's try that.
system: Can you please let me know the details of your reservation such as number of people, length of stay, and arrival date.
user: Please book for 6 people and 5 nights starting from thursday.
system: That booking was unsuccessful. Would you like me to help you find another hotel?
user: Is there another hotel in the same price range that you can book?
system: There are none in the same area,can I check in another area?
user: Yes, please check in another area.
system: The Gonville hotel in the centre area meets all your requirements. Would you like to book there?
user: Yes could you check there please.
system: I have made a booking and it went through. Your Reference number is : AEBKVJV3.
user: Yes, and please give me the reference number.
system: Your reference number is AEBKVJV3. Is there anything else you needed today?
user: No, that will be it. Thank you. 
system: You're welcome. Enjoy your stay."
377,382,377,"You are looking for a particular hotel. Its name is called hobsons house. Make sure you get postcode, phone number, and whether they have free parking","You are looking for a particular hotel. Its name is called hobsons house. Make sure you get postcode, phone number, and whether they have free parking","user: Hi, I'd like to find out about the Hobsons House hotel. 
system: Hobsons House is a guesthouse in the west part of town, it is moderately priced with 3 stars, internet and parking. Would you like more information? 
user: If you have it, can I get their phone number and postcode please. 
system: Sure thing. The Hobsons House can be reached at 01223304906. Their postcode is cb39lh. Did you need assistance booking a reservation there? 
user: I'm not quite sure yet. Do they have free parking?
system: They sure do, as well as free internet.  Would you like me to book you a room now?
user: Not at this time. Thank you for your help.
system: You are welcome. Have a nice day.
user: You too, thank you. 
system: Feel free to call us when you are ready to book. Good bye."
